# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,
# Sun Sep  2 18:32:36 2018,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_hostname:   Host Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_letter:     Planet Letter,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_name:       Planet Name,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_discmethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_disc:       Year of Discovery,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_orbper:     Orbital Period [days],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eccen:      Eccentricity,,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_bmassj:     Planet Mass or M*sin(i) [Jupiter mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rade:       Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_radj:       Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_rads:       Planet Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_dens:       Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_eqt:        Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,
# COLUMN fpl_snum:       Number of Stars in System,,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_dist:       Distance [pc],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_mass:       Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_rad:        Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,
# COLUMN fst_age:        Stellar Age [Gyr],,,,,,,,,,,,,,,,,,,,,
# COLUMN rmk_cust:        Mock Purchased,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_disc,fpl_orbper,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fpl_snum,fst_dist,fst_lum,fst_mass,fst_rad,fst_age,rmk_cust
1,11 Com,b,11 Com b,Radial Velocity,2007,326.03,0.231,6165.6,19.4,12.1,1.08,0.111,19.1,,1,110.62,2.243,2.7,19,,
2,11 UMi,b,11 UMi b,Radial Velocity,2009,516.21997,0.08,4684.8142,14.74,12.3,1.09,0.112,13.8,,1,119.47,2.4,2.78,29.79,1.56,
3,14 And,b,14 And b,Radial Velocity,2008,185.84,0,1525.5,4.8,12.9,1.15,0.118,3.9,,1,76.39,1.763,2.2,11,4.5,
4,14 Her,b,14 Her b,Radial Velocity,2002,1773.40002,0.37,1481.0878,4.66,12.9,1.15,0.118,3.79,,1,18.15,-0.204,0.9,0.93,5.24,
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1996,798.5,0.68,565.7374,1.78,13.5,1.2,0.123,1.26,,3,21.41,0.076,1.08,1.13,7.4,
6,18 Del,b,18 Del b,Radial Velocity,2008,993.3,0.08,3273.5,10.3,12.5,1.11,0.114,9.21,,1,73.1,1.602,2.3,8.5,1.1,
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,2008,,,3000,8,18.647,1.664,0.171,2.54,1700,1,145,-0.37,0.85,1.35,0.005,
8,24 Boo,b,24 Boo b,Radial Velocity,2018,30.3506,0.042,289.2253,0.91,13.9,1.24,0.127,0.592,,1,97.75,1.774,0.99,10.64,6.92,
9,24 Sex,b,24 Sex b,Radial Velocity,2010,452.8,0.09,632.46,1.99,13.4,1.19,0.123,1.44,,1,74.79,1.164,1.54,4.9,2.7,
10,24 Sex,c,24 Sex c,Radial Velocity,2010,883,0.29,273.32,0.86,13.9,1.24,0.127,0.559,,1,74.79,1.164,1.54,4.9,2.7,
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,2013,,,7786.5,24.5,11.209,1,0.103,30.4,1600,1,36,-1.72,0.4,,0.12,
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,2015,,,4417.837,13.9,16.141,1.44,0.148,5.77,,1,39.4,-2.23,0.11,0.28,0.035,
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,2010,,,2383.6,7.5,12.6,1.13,0.116,6.55,,1,140,,0.02,,0.001,
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,2004,,,1271,4,13,1.16,0.119,3.18,1150,1,52.4,,0.02,,0.008,
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,,603.877,1.9,13.4,1.2,0.123,1.38,,2,,1.98,0.48,2.88,,
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,0.26,6657.48,20.95,10.31,0.92,0.09,33.4,2075,1,25,-3.48,0.08,0.12,,
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,2016,,,3972.875,12.5,12.3,1.1,0.113,11.7,,1,74,,0.6,,0.12,
18,30 Ari B,b,30 Ari B b,Radial Velocity,2009,335.10001,0.29,4392.4106,13.82,12.3,1.1,0.113,13,,4,39.43,0.46,1.93,1.41,0.91,
19,4 UMa,b,4 UMa b,Radial Velocity,2006,269.3,0.432,2256.5,7.1,12.7,1.13,0.116,6.05,,1,77.4,2.05,1.23,18.11,4.604,
20,42 Dra,b,42 Dra b,Radial Velocity,2008,479.1,0.38,1233.13,3.88,13,1.16,0.119,3.08,,1,97.28,2.13,0.98,22.03,9.49,
21,47 UMa,b,47 UMa b,Radial Velocity,1996,1078,0.032,804.08,2.53,13.2,1.18,0.121,1.92,,1,14.08,0.233,1.03,1.23,7.3,
22,47 UMa,c,47 UMa c,Radial Velocity,2001,2391,0.098,171.621,0.54,14.2,1.27,0.13,0.329,,1,14.08,0.233,1.03,1.23,7.3,
23,47 UMa,d,47 UMa d,Radial Velocity,2009,14002,0.16,521.22,1.64,13.5,1.2,0.124,1.16,,1,14.08,0.233,1.03,1.23,7.3,
24,51 Eri,b,51 Eri b,Imaging,2015,14965,0.21,635.66,2,13.4,1.19,0.123,1.45,700,1,29.4,0.85,1.75,1.52,0.02,
25,51 Peg,b,51 Peg b,Radial Velocity,1995,4.230785,0.013,146.2018,0.46,14.3,1.27,0.131,0.275,,1,15.36,0.161,1.12,1.2,4,
26,55 Cnc,b,55 Cnc b,Radial Velocity,1996,14.65152,0.0034,263.9785,0.8306,13.9,1.24,0.128,0.54,700,2,12.53,-0.235,0.91,0.94,10.2,
27,55 Cnc,c,55 Cnc c,Radial Velocity,2004,44.4175,0.02,54.4738,0.1714,8.51,0.76,0.078,0.486,,2,12.53,-0.235,0.91,0.94,10.2,
28,55 Cnc,d,55 Cnc d,Radial Velocity,2002,4825,0.019,1232.493,3.878,13,1.16,0.119,3.08,,2,12.53,-0.235,0.91,0.94,10.2,
29,55 Cnc,e,55 Cnc e,Radial Velocity,2004,0.736539,0.028,8.08,0.02542,1.91,0.17,0.018,6.4,1958,2,12.53,-0.235,0.91,0.94,10.2,
30,55 Cnc,f,55 Cnc f,Radial Velocity,2007,262,0.305,44.812,0.141,7.59,0.677,0.07,0.563,,2,12.53,-0.235,0.91,0.94,10.2,
31,6 Lyn,b,6 Lyn b,Radial Velocity,2008,874.774,0.125,702.4043,2.21,13.3,1.19,0.122,1.64,,1,56.95,1.176,1.7,5.2,2.353,
32,61 Vir,b,61 Vir b,Radial Velocity,2009,4.215,0.12,5.1,0.016,2.11,0.188,0.019,2.98,,1,8.52,-0.095,0.94,0.96,8.96,
33,61 Vir,c,61 Vir c,Radial Velocity,2009,38.021,0.14,18.2,0.057,4.46,0.398,0.041,1.13,,1,8.52,-0.095,0.94,0.96,8.96,
34,61 Vir,d,61 Vir d,Radial Velocity,2009,123.01,0.35,22.9,0.072,5.11,0.456,0.047,0.943,,1,8.52,-0.095,0.94,0.96,8.96,
35,7 CMa,b,7 CMa b,Radial Velocity,2011,796,0.22,781.8618,2.46,13.3,1.18,0.122,1.83,,1,19.84,1.053,1.52,2.3,,
36,70 Vir,b,70 Vir b,Radial Velocity,1996,116.6884,0.4,2421.8646,7.62,12.6,1.13,0.116,6.65,,1,18.11,0.501,1.14,1.84,7.92,
37,75 Cet,b,75 Cet b,Radial Velocity,2012,691.9,0.117,953.49,3,13.1,1.17,0.121,2.33,,1,81.5,1.73,2.49,10.5,,
38,8 UMi,b,8 UMi b,Radial Velocity,2015,93.4,0.06,416.3573,1.31,13.6,1.22,0.125,0.91,,1,159.1,1.72,1.44,10.3,1.7,
39,81 Cet,b,81 Cet b,Radial Velocity,2008,952.7,0.206,1684.4,5.3,12.8,1.14,0.118,4.41,,1,97.18,1.778,2.4,11,,
40,91 Aqr,b,91 Aqr b,Radial Velocity,2013,181.4,0.027,1017,3.2,13.1,1.17,0.12,2.49,,1,45.52,1.71,1.4,11,3.56,
41,AB Pic,b,AB Pic b,Imaging,2005,,,4290.5,13.5,12.3,1.1,0.113,12.7,,1,45.52,-0.4,0.9,0.73,0.03,
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,2017,481.9,0.2,2034.112,6.4,12.7,1.13,0.117,5.46,,1,2618,2.7,1.14,32.35,5.2,
